id,domain,requirement,priority,acceptance_evidence,owner,status
STR-001,STR,The One Receipt program SHALL publish mission and bounded claims.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-002,STR,The One Receipt program SHALL define target outcomes and non-goals.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-003,STR,The One Receipt program SHALL maintain three-year strategy.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-004,STR,The One Receipt program SHALL approve annual objectives and key results.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-005,STR,The One Receipt program SHALL map buyer user regulator and public-interest value.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-006,STR,The One Receipt program SHALL maintain theory of change.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-007,STR,The One Receipt program SHALL define sustainable public-good economics.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-008,STR,The One Receipt program SHALL separate standards activity from commercial services.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-009,STR,The One Receipt program SHALL publish decision principles.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-010,STR,The One Receipt program SHALL maintain risk appetite.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-011,STR,The One Receipt program SHALL prioritize consequential AI transactions.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-012,STR,The One Receipt program SHALL support low-resource implementers.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-013,STR,The One Receipt program SHALL define exit and sunset criteria.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-014,STR,The One Receipt program SHALL measure ecosystem health.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-015,STR,The One Receipt program SHALL publish annual impact report.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-016,STR,The One Receipt program SHALL maintain competitive neutrality.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-017,STR,The One Receipt program SHALL avoid unsupported safety or compliance claims.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-018,STR,The One Receipt program SHALL track regulatory and standards dependencies.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-019,STR,The One Receipt program SHALL review strategy with regional stakeholders.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
STR-020,STR,The One Receipt program SHALL ratify scope changes publicly.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-001,GOV,The One Receipt program SHALL adopt public charter.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-002,GOV,The One Receipt program SHALL separate fiduciary technical public-interest and adoption powers.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-003,GOV,The One Receipt program SHALL publish voting and consensus rules.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-004,GOV,The One Receipt program SHALL maintain conflict-of-interest register.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-005,GOV,The One Receipt program SHALL require recusal on self-interest matters.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-006,GOV,The One Receipt program SHALL cap unrestricted funding concentration.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-007,GOV,The One Receipt program SHALL reserve protected public-interest budget.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-008,GOV,The One Receipt program SHALL publish meeting minutes and decisions.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-009,GOV,The One Receipt program SHALL provide independent appeal route.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-010,GOV,The One Receipt program SHALL define maintainer appointment and removal.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-011,GOV,The One Receipt program SHALL limit permanent founding privileges.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-012,GOV,The One Receipt program SHALL publish trademark policy.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-013,GOV,The One Receipt program SHALL adopt royalty-free patent terms.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-014,GOV,The One Receipt program SHALL adopt code and documentation licenses.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-015,GOV,The One Receipt program SHALL require contribution sign-off.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-016,GOV,The One Receipt program SHALL operate transparent registry governance.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-017,GOV,The One Receipt program SHALL publish annual financial transparency report.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-018,GOV,The One Receipt program SHALL protect whistleblowers and dissent.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-019,GOV,The One Receipt program SHALL review governance effectiveness annually.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
GOV-020,GOV,The One Receipt program SHALL define dissolution and asset disposition.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-001,PAR,The One Receipt program SHALL execute written founding contributor instruments.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-002,PAR,The One Receipt program SHALL recognize OVERT as contributed technical work not a controlling entity.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-003,PAR,The One Receipt program SHALL onboard Glacis subject to conflict controls.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-004,PAR,The One Receipt program SHALL offer equal technical process to competing vendors.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-005,PAR,The One Receipt program SHALL define member classes without pay-to-control.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-006,PAR,The One Receipt program SHALL publish contribution menu.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-007,PAR,The One Receipt program SHALL use nonbinding listening-first invitations.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-008,PAR,The One Receipt program SHALL maintain partner due diligence.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-009,PAR,The One Receipt program SHALL disclose beneficial ownership and affiliations.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-010,PAR,The One Receipt program SHALL prohibit logo use as certification.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-011,PAR,The One Receipt program SHALL require named delegates and alternates.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-012,PAR,The One Receipt program SHALL define cash and in-kind valuation.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-013,PAR,The One Receipt program SHALL publish sponsor restrictions.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-014,PAR,The One Receipt program SHALL create standards liaison process.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-015,PAR,The One Receipt program SHALL create regulator observer role.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-016,PAR,The One Receipt program SHALL fund civil-society participation.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-017,PAR,The One Receipt program SHALL fund Indigenous and regional participation.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-018,PAR,The One Receipt program SHALL create small-implementer microgrants.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-019,PAR,The One Receipt program SHALL measure cohort diversity.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PAR-020,PAR,The One Receipt program SHALL review every partnership annually.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-001,PRD,The One Receipt program SHALL document users jobs pains and evidence rights.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-002,PRD,The One Receipt program SHALL define receipt creation journey.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-003,PRD,The One Receipt program SHALL define verifier journey.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-004,PRD,The One Receipt program SHALL define challenge and remedy journey.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-005,PRD,The One Receipt program SHALL support plain-language views.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-006,PRD,The One Receipt program SHALL meet WCAG 2.2 AA target.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-007,PRD,The One Receipt program SHALL support keyboard and screen-reader use.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-008,PRD,The One Receipt program SHALL support low-bandwidth and offline verification.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-009,PRD,The One Receipt program SHALL localize normative and explanatory content.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-010,PRD,The One Receipt program SHALL provide API chat agent and IDE profiles first.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-011,PRD,The One Receipt program SHALL define voice streaming and on-device later profiles.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-012,PRD,The One Receipt program SHALL display limitations before positive result.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-013,PRD,The One Receipt program SHALL never expose protected content by default.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-014,PRD,The One Receipt program SHALL provide buyer-controlled evidence export.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-015,PRD,The One Receipt program SHALL support representative complaints.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-016,PRD,The One Receipt program SHALL support authorized human review.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-017,PRD,The One Receipt program SHALL provide deletion and retention evidence states.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-018,PRD,The One Receipt program SHALL define usability success metrics.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-019,PRD,The One Receipt program SHALL maintain PRD and PRD-FAQ per release.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRD-020,PRD,The One Receipt program SHALL validate designs with affected users.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-001,PRO,The One Receipt program SHALL define stable envelope identifier.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-002,PRO,The One Receipt program SHALL define bounded transaction identifier.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-003,PRO,The One Receipt program SHALL model events as directed acyclic receipt graph.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-004,PRO,The One Receipt program SHALL version every predicate independently.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-005,PRO,The One Receipt program SHALL declare omitted predicates and reasons.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-006,PRO,The One Receipt program SHALL require transaction predicate.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-007,PRO,The One Receipt program SHALL require policy predicate.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-008,PRO,The One Receipt program SHALL require runtime predicate.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-009,PRO,The One Receipt program SHALL require audit-contestability predicate.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-010,PRO,The One Receipt program SHALL support identity predicate.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-011,PRO,The One Receipt program SHALL support mandate predicate.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-012,PRO,The One Receipt program SHALL support provenance-disclosure predicate.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-013,PRO,The One Receipt program SHALL define critical predicate behavior.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-014,PRO,The One Receipt program SHALL define canonical encoding profile.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-015,PRO,The One Receipt program SHALL define algorithm agility.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-016,PRO,The One Receipt program SHALL define key discovery and status.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-017,PRO,The One Receipt program SHALL define assurance OR-0 through OR-5.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-018,PRO,The One Receipt program SHALL define verifier result vocabulary.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-019,PRO,The One Receipt program SHALL maintain extension registry.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRO-020,PRO,The One Receipt program SHALL publish backward compatibility policy.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-001,IDM,The One Receipt program SHALL bind issuer identity to signing key.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-002,IDM,The One Receipt program SHALL represent operator identity.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-003,IDM,The One Receipt program SHALL represent workload or agent identity.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-004,IDM,The One Receipt program SHALL represent principal binding mode.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-005,IDM,The One Receipt program SHALL allow explicit anonymous or pseudonymous mode.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-006,IDM,The One Receipt program SHALL avoid stable user identifiers by default.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-007,IDM,The One Receipt program SHALL support organizational mandates.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-008,IDM,The One Receipt program SHALL support human mandates.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-009,IDM,The One Receipt program SHALL record mandate scope limits and expiry.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-010,IDM,The One Receipt program SHALL record delegation chain.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-011,IDM,The One Receipt program SHALL record approval authority.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-012,IDM,The One Receipt program SHALL bind mandate to transaction graph.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-013,IDM,The One Receipt program SHALL support revocation status.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-014,IDM,The One Receipt program SHALL prevent confused-deputy delegation.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-015,IDM,The One Receipt program SHALL prevent replay of expired mandates.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-016,IDM,The One Receipt program SHALL map compatible verifiable credentials.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-017,IDM,The One Receipt program SHALL map workload identity systems.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-018,IDM,The One Receipt program SHALL separate bot operator from human principal.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-019,IDM,The One Receipt program SHALL define recovery after key compromise.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
IDM-020,IDM,The One Receipt program SHALL test cross-domain identity substitution.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-001,POL,The One Receipt program SHALL evaluate applicable policy before consequential action.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-002,POL,The One Receipt program SHALL return allow constrain hold escalate or deny.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-003,POL,The One Receipt program SHALL bind policy identifier version and hash.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-004,POL,The One Receipt program SHALL record evaluated control identifiers.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-005,POL,The One Receipt program SHALL record enforcement point.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-006,POL,The One Receipt program SHALL record evidence coverage and gaps.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-007,POL,The One Receipt program SHALL fail closed for missing critical controls.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-008,POL,The One Receipt program SHALL support risk-tier-specific gates.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-009,POL,The One Receipt program SHALL support human approval gates.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-010,POL,The One Receipt program SHALL support emergency break-glass with receipts.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-011,POL,The One Receipt program SHALL prevent policy downgrade without authorization.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-012,POL,The One Receipt program SHALL verify policy package signatures.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-013,POL,The One Receipt program SHALL support jurisdiction overlays.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-014,POL,The One Receipt program SHALL support sector profiles.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-015,POL,The One Receipt program SHALL map OVERT controls without copying governance claims.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-016,POL,The One Receipt program SHALL map NIST ISO and regulatory controls non-normatively.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-017,POL,The One Receipt program SHALL record exceptions and compensating controls.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-018,POL,The One Receipt program SHALL link policy failures to incidents.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-019,POL,The One Receipt program SHALL re-evaluate on material context change.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
POL-020,POL,The One Receipt program SHALL test gate bypass attempts.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-001,RUN,The One Receipt program SHALL record operation boundary.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-002,RUN,The One Receipt program SHALL record model and runtime references.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-003,RUN,The One Receipt program SHALL record tool-call graph.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-004,RUN,The One Receipt program SHALL record environment attestation reference.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-005,RUN,The One Receipt program SHALL record timing with declared clock source.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-006,RUN,The One Receipt program SHALL record retries partial failures and cancellation.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-007,RUN,The One Receipt program SHALL record human review event separately.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-008,RUN,The One Receipt program SHALL record external side effect separately.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-009,RUN,The One Receipt program SHALL record output delivery separately.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-010,RUN,The One Receipt program SHALL record deletion event separately.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-011,RUN,The One Receipt program SHALL record incident linkage separately.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-012,RUN,The One Receipt program SHALL avoid raw prompts and outputs by default.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-013,RUN,The One Receipt program SHALL support disclosure-controlled evidence pointers.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-014,RUN,The One Receipt program SHALL support streaming batch limits.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-015,RUN,The One Receipt program SHALL mark sequence gaps and loss.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-016,RUN,The One Receipt program SHALL bind software and model bill-of-material references.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-017,RUN,The One Receipt program SHALL map OpenTelemetry attributes.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
